c,z,attribute,uni,y,value
Libya,Libya,UtilizationTechFuel,PV,2036,0.0
Libya,Libya,UtilizationTechFuel,PV+Storage,2036,0.0
Libya,Libya,UtilizationTechFuel,Solar Thermal,2036,0.0
Libya,Libya,UtilizationTechFuel,Battery,2036,0.0
Libya,Libya,UtilizationTechFuel,PSH,2036,0.0
Libya,Libya,UtilizationTechFuel,PSH,2036,0.0
Libya,Libya,UtilizationTechFuel,Imports,2036,0.0
Libya,Libya,UtilizationTechFuel,Peat,2036,0.0
Libya,Libya,UtilizationTechFuel,Waste,2036,0.0
Libya,Libya,UtilizationTechFuel,Methane,2036,0.0
Libya,Libya,UtilizationTechFuel,Solar,2036,0.0
Libya,Libya,UtilizationTechFuel,Solar,2036,0.0
Libya,Libya,UtilizationTechFuel,Nuclear,2038,0.0
Libya,Libya,UtilizationTechFuel,Gas,2038,0.8499999999999991
Libya,Libya,UtilizationTechFuel,Gas,2038,0.0
Libya,Libya,UtilizationTechFuel,Gas,2038,0.0
Libya,Libya,UtilizationTechFuel,Gas,2038,0.0
Libya,Libya,UtilizationTechFuel,Gas,2038,0.76328075040508
Libya,Libya,UtilizationTechFuel,Gas,2038,0.0
Libya,Libya,UtilizationTechFuel,Gas,2038,0.0
Libya,Libya,UtilizationTechFuel,Gas,2038,0.0
Libya,Libya,UtilizationTechFuel,Gas,2038,0.0
Libya,Libya,UtilizationTechFuel,Gas,2038,0.0
Libya,Libya,UtilizationTechFuel,Gas,2038,0.0
Libya,Libya,UtilizationTechFuel,Gas,2038,0.0
Libya,Libya,UtilizationTechFuel,Coal,2038,0.0
Libya,Libya,UtilizationTechFuel,Coal,2038,0.0
Libya,Libya,UtilizationTechFuel,Coal,2038,0.0
Libya,Libya,UtilizationTechFuel,Coal,2038,0.0
Libya,Libya,UtilizationTechFuel,Geothermal,2038,0.0
Libya,Libya,UtilizationTechFuel,Geothermal,2038,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2038,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2038,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2038,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2038,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2038,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2038,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2038,0.1565317362339432
Libya,Libya,UtilizationTechFuel,Biomass,2038,0.0
Libya,Libya,UtilizationTechFuel,Biomass,2038,0.0
Libya,Libya,UtilizationTechFuel,Biomass,2038,0.0
Libya,Libya,UtilizationTechFuel,Reservoir,2038,0.0
Libya,Libya,UtilizationTechFuel,Reservoir,2038,0.0
Libya,Libya,UtilizationTechFuel,ROR,2038,0.0
Libya,Libya,UtilizationTechFuel,CSP,2038,0.0
Libya,Libya,UtilizationTechFuel,CSP,2038,0.0
Libya,Libya,UtilizationTechFuel,Offshore Wind,2038,0.0
Libya,Libya,UtilizationTechFuel,Onshore Wind,2038,0.0
Libya,Libya,UtilizationTechFuel,Onshore Wind,2038,0.527461029680365
Libya,Libya,UtilizationTechFuel,PV,2038,0.1973503319634702
Libya,Libya,UtilizationTechFuel,PV,2038,0.0
Libya,Libya,UtilizationTechFuel,PV+Storage,2038,0.0
Libya,Libya,UtilizationTechFuel,Solar Thermal,2038,0.0
Libya,Libya,UtilizationTechFuel,Battery,2038,0.0
Libya,Libya,UtilizationTechFuel,PSH,2038,0.0
Libya,Libya,UtilizationTechFuel,PSH,2038,0.0
Libya,Libya,UtilizationTechFuel,Imports,2038,0.0
Libya,Libya,UtilizationTechFuel,Peat,2038,0.0
Libya,Libya,UtilizationTechFuel,Waste,2038,0.0
Libya,Libya,UtilizationTechFuel,Methane,2038,0.0
Libya,Libya,UtilizationTechFuel,Solar,2038,0.0
Libya,Libya,UtilizationTechFuel,Solar,2038,0.0
Libya,Libya,UtilizationTechFuel,Nuclear,2040,0.0
Libya,Libya,UtilizationTechFuel,Gas,2040,0.8499999999999999
Libya,Libya,UtilizationTechFuel,Gas,2040,0.0
Libya,Libya,UtilizationTechFuel,Gas,2040,0.0
Libya,Libya,UtilizationTechFuel,Gas,2040,0.0
Libya,Libya,UtilizationTechFuel,Gas,2040,0.7556800014886795
Libya,Libya,UtilizationTechFuel,Gas,2040,0.0
Libya,Libya,UtilizationTechFuel,Gas,2040,0.0
Libya,Libya,UtilizationTechFuel,Gas,2040,0.0
Libya,Libya,UtilizationTechFuel,Gas,2040,0.0
Libya,Libya,UtilizationTechFuel,Gas,2040,0.0
Libya,Libya,UtilizationTechFuel,Gas,2040,0.0
Libya,Libya,UtilizationTechFuel,Gas,2040,0.0
Libya,Libya,UtilizationTechFuel,Coal,2040,0.0
Libya,Libya,UtilizationTechFuel,Coal,2040,0.0
Libya,Libya,UtilizationTechFuel,Coal,2040,0.0
Libya,Libya,UtilizationTechFuel,Coal,2040,0.0
Libya,Libya,UtilizationTechFuel,Geothermal,2040,0.0
Libya,Libya,UtilizationTechFuel,Geothermal,2040,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2040,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2040,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2040,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2040,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2040,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2040,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2040,0.1590629672753316
Libya,Libya,UtilizationTechFuel,Biomass,2040,0.0
Libya,Libya,UtilizationTechFuel,Biomass,2040,0.0
Libya,Libya,UtilizationTechFuel,Biomass,2040,0.0
Libya,Libya,UtilizationTechFuel,Reservoir,2040,0.0
Libya,Libya,UtilizationTechFuel,Reservoir,2040,0.0
Libya,Libya,UtilizationTechFuel,ROR,2040,0.0
Libya,Libya,UtilizationTechFuel,CSP,2040,0.0
Libya,Libya,UtilizationTechFuel,CSP,2040,0.0
Libya,Libya,UtilizationTechFuel,Offshore Wind,2040,0.0
Libya,Libya,UtilizationTechFuel,Onshore Wind,2040,0.0
Libya,Libya,UtilizationTechFuel,Onshore Wind,2040,0.527461029680365
Libya,Libya,UtilizationTechFuel,PV,2040,0.1964223523460872
Libya,Libya,UtilizationTechFuel,PV,2040,0.0
Libya,Libya,UtilizationTechFuel,PV+Storage,2040,0.0
Libya,Libya,UtilizationTechFuel,Solar Thermal,2040,0.0
Libya,Libya,UtilizationTechFuel,Battery,2040,0.0
Libya,Libya,UtilizationTechFuel,PSH,2040,0.0
Libya,Libya,UtilizationTechFuel,PSH,2040,0.0
Libya,Libya,UtilizationTechFuel,Imports,2040,0.0
Libya,Libya,UtilizationTechFuel,Peat,2040,0.0
Libya,Libya,UtilizationTechFuel,Waste,2040,0.0
Libya,Libya,UtilizationTechFuel,Methane,2040,0.0
Libya,Libya,UtilizationTechFuel,Solar,2040,0.0
Libya,Libya,UtilizationTechFuel,Solar,2040,0.0
Libya,Libya,UtilizationTechFuel,Nuclear,2042,0.0
Libya,Libya,UtilizationTechFuel,Gas,2042,0.8499999999999996
Libya,Libya,UtilizationTechFuel,Gas,2042,0.0
Libya,Libya,UtilizationTechFuel,Gas,2042,0.0
Libya,Libya,UtilizationTechFuel,Gas,2042,0.0
Libya,Libya,UtilizationTechFuel,Gas,2042,0.8500000000000001
Libya,Libya,UtilizationTechFuel,Gas,2042,0.0
Libya,Libya,UtilizationTechFuel,Gas,2042,0.0
Libya,Libya,UtilizationTechFuel,Gas,2042,0.0
Libya,Libya,UtilizationTechFuel,Gas,2042,0.0
Libya,Libya,UtilizationTechFuel,Gas,2042,0.0
Libya,Libya,UtilizationTechFuel,Gas,2042,0.0
Libya,Libya,UtilizationTechFuel,Gas,2042,0.0
Libya,Libya,UtilizationTechFuel,Coal,2042,0.0
Libya,Libya,UtilizationTechFuel,Coal,2042,0.0
Libya,Libya,UtilizationTechFuel,Coal,2042,0.0
Libya,Libya,UtilizationTechFuel,Coal,2042,0.0
Libya,Libya,UtilizationTechFuel,Geothermal,2042,0.0
Libya,Libya,UtilizationTechFuel,Geothermal,2042,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2042,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2042,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2042,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2042,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2042,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2042,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2042,0.4121857718557349
Libya,Libya,UtilizationTechFuel,Biomass,2042,0.0
Libya,Libya,UtilizationTechFuel,Biomass,2042,0.0
Libya,Libya,UtilizationTechFuel,Biomass,2042,0.0
Libya,Libya,UtilizationTechFuel,Reservoir,2042,0.0
Libya,Libya,UtilizationTechFuel,Reservoir,2042,0.0
Libya,Libya,UtilizationTechFuel,ROR,2042,0.0
Libya,Libya,UtilizationTechFuel,CSP,2042,0.0
Libya,Libya,UtilizationTechFuel,CSP,2042,0.0
Libya,Libya,UtilizationTechFuel,Offshore Wind,2042,0.0
Libya,Libya,UtilizationTechFuel,Onshore Wind,2042,0.0
Libya,Libya,UtilizationTechFuel,Onshore Wind,2042,0.527461029680365
Libya,Libya,UtilizationTechFuel,PV,2042,0.1962290232591324
Libya,Libya,UtilizationTechFuel,PV,2042,0.0
Libya,Libya,UtilizationTechFuel,PV+Storage,2042,0.0
Libya,Libya,UtilizationTechFuel,Solar Thermal,2042,0.0
Libya,Libya,UtilizationTechFuel,Battery,2042,0.0
Libya,Libya,UtilizationTechFuel,PSH,2042,0.0
Libya,Libya,UtilizationTechFuel,PSH,2042,0.0
Libya,Libya,UtilizationTechFuel,Imports,2042,0.0
Libya,Libya,UtilizationTechFuel,Peat,2042,0.0
Libya,Libya,UtilizationTechFuel,Waste,2042,0.0
Libya,Libya,UtilizationTechFuel,Methane,2042,0.0
Libya,Libya,UtilizationTechFuel,Solar,2042,0.0
Libya,Libya,UtilizationTechFuel,Solar,2042,0.0
Libya,Libya,UtilizationTechFuel,Nuclear,2044,0.0
Libya,Libya,UtilizationTechFuel,Gas,2044,0.8499999999999998
Libya,Libya,UtilizationTechFuel,Gas,2044,0.0
Libya,Libya,UtilizationTechFuel,Gas,2044,0.0
Libya,Libya,UtilizationTechFuel,Gas,2044,0.0
Libya,Libya,UtilizationTechFuel,Gas,2044,0.8499999999999999
Libya,Libya,UtilizationTechFuel,Gas,2044,0.0
Libya,Libya,UtilizationTechFuel,Gas,2044,0.0
Libya,Libya,UtilizationTechFuel,Gas,2044,0.0
Libya,Libya,UtilizationTechFuel,Gas,2044,0.0
Libya,Libya,UtilizationTechFuel,Gas,2044,0.0
Libya,Libya,UtilizationTechFuel,Gas,2044,0.0
Libya,Libya,UtilizationTechFuel,Gas,2044,0.0
Libya,Libya,UtilizationTechFuel,Coal,2044,0.0
Libya,Libya,UtilizationTechFuel,Coal,2044,0.0
Libya,Libya,UtilizationTechFuel,Coal,2044,0.0
Libya,Libya,UtilizationTechFuel,Coal,2044,0.0
Libya,Libya,UtilizationTechFuel,Geothermal,2044,0.0
Libya,Libya,UtilizationTechFuel,Geothermal,2044,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2044,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2044,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2044,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2044,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2044,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2044,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2044,0.6259231145589003
Libya,Libya,UtilizationTechFuel,Biomass,2044,0.0
Libya,Libya,UtilizationTechFuel,Biomass,2044,0.0
Libya,Libya,UtilizationTechFuel,Biomass,2044,0.0
Libya,Libya,UtilizationTechFuel,Reservoir,2044,0.0
Libya,Libya,UtilizationTechFuel,Reservoir,2044,0.0
Libya,Libya,UtilizationTechFuel,ROR,2044,0.0
Libya,Libya,UtilizationTechFuel,CSP,2044,0.0
Libya,Libya,UtilizationTechFuel,CSP,2044,0.0
Libya,Libya,UtilizationTechFuel,Offshore Wind,2044,0.0
Libya,Libya,UtilizationTechFuel,Onshore Wind,2044,0.0
Libya,Libya,UtilizationTechFuel,Onshore Wind,2044,0.527461029680365
Libya,Libya,UtilizationTechFuel,PV,2044,0.1962290232591324
Libya,Libya,UtilizationTechFuel,PV,2044,0.0
Libya,Libya,UtilizationTechFuel,PV+Storage,2044,0.0
Libya,Libya,UtilizationTechFuel,Solar Thermal,2044,0.0
Libya,Libya,UtilizationTechFuel,Battery,2044,0.0
Libya,Libya,UtilizationTechFuel,PSH,2044,0.0
Libya,Libya,UtilizationTechFuel,PSH,2044,0.0
Libya,Libya,UtilizationTechFuel,Imports,2044,0.0
Libya,Libya,UtilizationTechFuel,Peat,2044,0.0
Libya,Libya,UtilizationTechFuel,Waste,2044,0.0
Libya,Libya,UtilizationTechFuel,Methane,2044,0.0
Libya,Libya,UtilizationTechFuel,Solar,2044,0.0
Libya,Libya,UtilizationTechFuel,Solar,2044,0.0
Libya,Libya,UtilizationTechFuel,Nuclear,2046,0.0
Libya,Libya,UtilizationTechFuel,Gas,2046,0.8499999999999998
Libya,Libya,UtilizationTechFuel,Gas,2046,0.0
Libya,Libya,UtilizationTechFuel,Gas,2046,0.0
Libya,Libya,UtilizationTechFuel,Gas,2046,0.0
Libya,Libya,UtilizationTechFuel,Gas,2046,0.8500000000000001
Libya,Libya,UtilizationTechFuel,Gas,2046,0.0
Libya,Libya,UtilizationTechFuel,Gas,2046,0.0
Libya,Libya,UtilizationTechFuel,Gas,2046,0.0
Libya,Libya,UtilizationTechFuel,Gas,2046,0.0
Libya,Libya,UtilizationTechFuel,Gas,2046,0.0
Libya,Libya,UtilizationTechFuel,Gas,2046,0.0
Libya,Libya,UtilizationTechFuel,Gas,2046,0.0
Libya,Libya,UtilizationTechFuel,Coal,2046,0.0
Libya,Libya,UtilizationTechFuel,Coal,2046,0.0
Libya,Libya,UtilizationTechFuel,Coal,2046,0.0
Libya,Libya,UtilizationTechFuel,Coal,2046,0.0
Libya,Libya,UtilizationTechFuel,Geothermal,2046,0.0
Libya,Libya,UtilizationTechFuel,Geothermal,2046,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2046,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2046,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2046,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2046,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2046,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2046,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2046,0.8483480201370402
Libya,Libya,UtilizationTechFuel,Biomass,2046,0.0
Libya,Libya,UtilizationTechFuel,Biomass,2046,0.0
Libya,Libya,UtilizationTechFuel,Biomass,2046,0.0
Libya,Libya,UtilizationTechFuel,Reservoir,2046,0.0
Libya,Libya,UtilizationTechFuel,Reservoir,2046,0.0
Libya,Libya,UtilizationTechFuel,ROR,2046,0.0
Libya,Libya,UtilizationTechFuel,CSP,2046,0.0
Libya,Libya,UtilizationTechFuel,CSP,2046,0.0
Libya,Libya,UtilizationTechFuel,Offshore Wind,2046,0.0
Libya,Libya,UtilizationTechFuel,Onshore Wind,2046,0.0
Libya,Libya,UtilizationTechFuel,Onshore Wind,2046,0.527461029680365
Libya,Libya,UtilizationTechFuel,PV,2046,0.1962290232591324
Libya,Libya,UtilizationTechFuel,PV,2046,0.0
Libya,Libya,UtilizationTechFuel,PV+Storage,2046,0.0
Libya,Libya,UtilizationTechFuel,Solar Thermal,2046,0.0
Libya,Libya,UtilizationTechFuel,Battery,2046,0.0034246575342465
Libya,Libya,UtilizationTechFuel,PSH,2046,0.0
Libya,Libya,UtilizationTechFuel,PSH,2046,0.0
Libya,Libya,UtilizationTechFuel,Imports,2046,0.0
Libya,Libya,UtilizationTechFuel,Peat,2046,0.0
Libya,Libya,UtilizationTechFuel,Waste,2046,0.0
Libya,Libya,UtilizationTechFuel,Methane,2046,0.0
Libya,Libya,UtilizationTechFuel,Solar,2046,0.0
Libya,Libya,UtilizationTechFuel,Solar,2046,0.0
Libya,Libya,UtilizationTechFuel,Nuclear,2048,0.0
Libya,Libya,UtilizationTechFuel,Gas,2048,0.8499999999999994
Libya,Libya,UtilizationTechFuel,Gas,2048,0.0
Libya,Libya,UtilizationTechFuel,Gas,2048,0.0
Libya,Libya,UtilizationTechFuel,Gas,2048,0.0
Libya,Libya,UtilizationTechFuel,Gas,2048,0.85
Libya,Libya,UtilizationTechFuel,Gas,2048,0.0
Libya,Libya,UtilizationTechFuel,Gas,2048,0.0
Libya,Libya,UtilizationTechFuel,Gas,2048,0.0
Libya,Libya,UtilizationTechFuel,Gas,2048,0.0
Libya,Libya,UtilizationTechFuel,Gas,2048,0.0
Libya,Libya,UtilizationTechFuel,Gas,2048,0.0
Libya,Libya,UtilizationTechFuel,Gas,2048,0.0
Libya,Libya,UtilizationTechFuel,Coal,2048,0.0
Libya,Libya,UtilizationTechFuel,Coal,2048,0.0
Libya,Libya,UtilizationTechFuel,Coal,2048,0.0
Libya,Libya,UtilizationTechFuel,Coal,2048,0.0
Libya,Libya,UtilizationTechFuel,Geothermal,2048,0.0
Libya,Libya,UtilizationTechFuel,Geothermal,2048,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2048,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2048,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2048,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2048,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2048,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2048,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2048,0.85
Libya,Libya,UtilizationTechFuel,Biomass,2048,0.0
Libya,Libya,UtilizationTechFuel,Biomass,2048,0.0
Libya,Libya,UtilizationTechFuel,Biomass,2048,0.0
Libya,Libya,UtilizationTechFuel,Reservoir,2048,0.0
Libya,Libya,UtilizationTechFuel,Reservoir,2048,0.0
Libya,Libya,UtilizationTechFuel,ROR,2048,0.0
Libya,Libya,UtilizationTechFuel,CSP,2048,0.0
Libya,Libya,UtilizationTechFuel,CSP,2048,0.0
Libya,Libya,UtilizationTechFuel,Offshore Wind,2048,0.0
Libya,Libya,UtilizationTechFuel,Onshore Wind,2048,0.0
Libya,Libya,UtilizationTechFuel,Onshore Wind,2048,0.527461029680365
Libya,Libya,UtilizationTechFuel,PV,2048,0.1962290232591324
Libya,Libya,UtilizationTechFuel,PV,2048,0.0
Libya,Libya,UtilizationTechFuel,PV+Storage,2048,0.0
Libya,Libya,UtilizationTechFuel,Solar Thermal,2048,0.0
Libya,Libya,UtilizationTechFuel,Battery,2048,0.0
Libya,Libya,UtilizationTechFuel,PSH,2048,0.0
Libya,Libya,UtilizationTechFuel,PSH,2048,0.0
Libya,Libya,UtilizationTechFuel,Imports,2048,0.0
Libya,Libya,UtilizationTechFuel,Peat,2048,0.0
Libya,Libya,UtilizationTechFuel,Waste,2048,0.0
Libya,Libya,UtilizationTechFuel,Methane,2048,0.0
Libya,Libya,UtilizationTechFuel,Solar,2048,0.0
Libya,Libya,UtilizationTechFuel,Solar,2048,0.0
Libya,Libya,UtilizationTechFuel,Nuclear,2050,0.0
Libya,Libya,UtilizationTechFuel,Gas,2050,0.8499999999999994
Libya,Libya,UtilizationTechFuel,Gas,2050,0.0
Libya,Libya,UtilizationTechFuel,Gas,2050,0.0
Libya,Libya,UtilizationTechFuel,Gas,2050,0.0
Libya,Libya,UtilizationTechFuel,Gas,2050,0.85
Libya,Libya,UtilizationTechFuel,Gas,2050,0.0
Libya,Libya,UtilizationTechFuel,Gas,2050,0.0
Libya,Libya,UtilizationTechFuel,Gas,2050,0.0
Libya,Libya,UtilizationTechFuel,Gas,2050,0.0
Libya,Libya,UtilizationTechFuel,Gas,2050,0.0
Libya,Libya,UtilizationTechFuel,Gas,2050,0.0
Libya,Libya,UtilizationTechFuel,Gas,2050,0.0
Libya,Libya,UtilizationTechFuel,Coal,2050,0.0
Libya,Libya,UtilizationTechFuel,Coal,2050,0.0
Libya,Libya,UtilizationTechFuel,Coal,2050,0.0
Libya,Libya,UtilizationTechFuel,Coal,2050,0.0
Libya,Libya,UtilizationTechFuel,Geothermal,2050,0.0
Libya,Libya,UtilizationTechFuel,Geothermal,2050,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2050,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2050,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2050,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2050,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2050,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2050,0.0
Libya,Libya,UtilizationTechFuel,Diesel,2050,0.85
Libya,Libya,UtilizationTechFuel,Biomass,2050,0.0
Libya,Libya,UtilizationTechFuel,Biomass,2050,0.0
Libya,Libya,UtilizationTechFuel,Biomass,2050,0.0
Libya,Libya,UtilizationTechFuel,Reservoir,2050,0.0
Libya,Libya,UtilizationTechFuel,Reservoir,2050,0.0
Libya,Libya,UtilizationTechFuel,ROR,2050,0.0
Libya,Libya,UtilizationTechFuel,CSP,2050,0.0
Libya,Libya,UtilizationTechFuel,CSP,2050,0.0
Libya,Libya,UtilizationTechFuel,Offshore Wind,2050,0.0
Libya,Libya,UtilizationTechFuel,Onshore Wind,2050,0.0
Libya,Libya,UtilizationTechFuel,Onshore Wind,2050,0.527461029680365
Libya,Libya,UtilizationTechFuel,PV,2050,0.1962290232591324
Libya,Libya,UtilizationTechFuel,PV,2050,0.0
Libya,Libya,UtilizationTechFuel,PV+Storage,2050,0.0
Libya,Libya,UtilizationTechFuel,Solar Thermal,2050,0.0
Libya,Libya,UtilizationTechFuel,Battery,2050,0.0
Libya,Libya,UtilizationTechFuel,PSH,2050,0.0
Libya,Libya,UtilizationTechFuel,PSH,2050,0.0
Libya,Libya,UtilizationTechFuel,Imports,2050,0.0
Libya,Libya,UtilizationTechFuel,Peat,2050,0.0
Libya,Libya,UtilizationTechFuel,Waste,2050,0.0
Libya,Libya,UtilizationTechFuel,Methane,2050,0.0
Libya,Libya,UtilizationTechFuel,Solar,2050,0.0
Libya,Libya,UtilizationTechFuel,Solar,2050,0.0
Libya,Libya,CapexInvestmentComponent,,2028,1800617143.584
Libya,Libya,CapexInvestmentComponent,,2030,1875241428.1
Libya,Libya,CapexInvestmentComponent,,2032,1901145149.284
Libya,Libya,CapexInvestmentComponent,,2034,1876233472.61
Libya,Libya,CapexInvestmentComponent,,2036,1784638571.9
Libya,Libya,CapexInvestmentComponent,,2038,1228827857.3939998
Libya,Libya,CapexInvestmentComponent,,2040,1108292856.71
Libya,Libya,CapexInvestmentComponent,,2042,64575585.798
Libya,Libya,CapexInvestmentComponentCumulated,,2028,1800617143.584
Libya,Libya,CapexInvestmentComponentCumulated,,2030,3675858571.684
Libya,Libya,CapexInvestmentComponentCumulated,,2032,5577003720.968
Libya,Libya,CapexInvestmentComponentCumulated,,2034,7453237193.578
Libya,Libya,CapexInvestmentComponentCumulated,,2036,9120377143.584
Libya,Libya,CapexInvestmentComponentCumulated,,2038,10349205000.978
Libya,Libya,CapexInvestmentComponentCumulated,,2040,11457497857.688
Libya,Libya,CapexInvestmentComponentCumulated,,2042,11522073443.486
Libya,Libya,Costs,,2026,6869.385439290716
Libya,Libya,Costs,,2028,8798.644409080545
Libya,Libya,Costs,,2030,9971.015079075776
Libya,Libya,Costs,,2032,13360.859888547891
Libya,Libya,Costs,,2034,14652.795358343574
Libya,Libya,Costs,,2036,15526.433235093711
Libya,Libya,Costs,,2038,16211.198139876828
Libya,Libya,Costs,,2040,17118.631019315213
Libya,Libya,Costs,,2042,22324.467213529613
Libya,Libya,Costs,,2044,26581.68718038112
Libya,Libya,Costs,,2046,35375.73056741185
Libya,Libya,Costs,,2048,65635.5554560702
Libya,Libya,Costs,,2050,75959.49690551015
Libya,Libya,CostsPerMWh,,2026,112.54829916098493
Libya,Libya,CostsPerMWh,,2028,128.61258856751078
Libya,Libya,CostsPerMWh,,2030,126.29531449114332
Libya,Libya,CostsPerMWh,,2032,134.42049869761254
Libya,Libya,CostsPerMWh,,2034,132.2681268299039
Libya,Libya,CostsPerMWh,,2036,131.47298160050897
Libya,Libya,CostsPerMWh,,2038,129.39146717863505
Libya,Libya,CostsPerMWh,,2040,128.79091634929208
Libya,Libya,CostsPerMWh,,2042,158.31495829128954
Libya,Libya,CostsPerMWh,,2044,177.68388700865043
Libya,Libya,CostsPerMWh,,2046,222.8926014883048
Libya,Libya,CostsPerMWh,,2048,389.81307100180095
Libya,Libya,CostsPerMWh,,2050,425.23132550066975
Libya,Libya,DemandEnergyZone,,2026,61035.00000000003
Libya,Libya,DemandEnergyZone,,2028,68411.99999999999
Libya,Libya,DemandEnergyZone,,2030,78950.00000000007
Libya,Libya,DemandEnergyZone,,2032,99395.99999999996
Libya,Libya,DemandEnergyZone,,2034,110780.99999999994
Libya,Libya,DemandEnergyZone,,2036,118096.00000000004
Libya,Libya,DemandEnergyZone,,2038,125288.0
Libya,Libya,DemandEnergyZone,,2040,132918.00000000006
Libya,Libya,DemandEnergyZone,,2042,141013.00000000003
Libya,Libya,DemandEnergyZone,,2044,149601.00000000003
Libya,Libya,DemandEnergyZone,,2046,158712.0000000001
Libya,Libya,DemandEnergyZone,,2048,168376.99999999994
Libya,Libya,DemandEnergyZone,,2050,178631.00000000003
Libya,Libya,DemandPeakZone,,2026,9069.29592
Libya,Libya,DemandPeakZone,,2028,10139.04734
Libya,Libya,DemandPeakZone,,2030,11756.11344
Libya,Libya,DemandPeakZone,,2032,14810.095039999998
Libya,Libya,DemandPeakZone,,2034,16509.5157
Libya,Libya,DemandPeakZone,,2036,17603.2872
Libya,Libya,DemandPeakZone,,2038,18674.75434
Libya,Libya,DemandPeakZone,,2040,19812.2767
Libya,Libya,DemandPeakZone,,2042,21019.28572
Libya,Libya,DemandPeakZone,,2044,22299.21284
Libya,Libya,DemandPeakZone,,2046,23657.20522
Libya,Libya,DemandPeakZone,,2048,25097.55216
Libya,Libya,DemandPeakZone,,2050,26626.25868
Libya,Libya,EmissionsIntensityZone,,2026,5.158838278324263e-07
Libya,Libya,EmissionsIntensityZone,,2028,5.10738984111982e-07
Libya,Libya,EmissionsIntensityZone,,2030,5.001020306545977e-07
Libya,Libya,EmissionsIntensityZone,,2032,5.367098518727622e-07
Libya,Libya,EmissionsIntensityZone,,2034,5.273909980593362e-07
Libya,Libya,EmissionsIntensityZone,,2036,5.19669571476429e-07
Libya,Libya,EmissionsIntensityZone,,2038,5.093371136098866e-07
Libya,Libya,EmissionsIntensityZone,,2040,5.031725360605502e-07
Libya,Libya,EmissionsIntensityZone,,2042,5.339643094692745e-07
Libya,Libya,EmissionsIntensityZone,,2044,5.45998603802464e-07
Libya,Libya,EmissionsIntensityZone,,2046,5.573323021418832e-07
Libya,Libya,EmissionsIntensityZone,,2048,5.287592979590092e-07
Libya,Libya,EmissionsIntensityZone,,2050,5.287592979590095e-07
Libya,Libya,EmissionsZone,,2026,30.39556560558985
Libya,Libya,EmissionsZone,,2028,33.82215700586367
Libya,Libya,EmissionsZone,,2030,38.3878318730469
Libya,Libya,EmissionsZone,,2032,52.17141786114372
Libya,Libya,EmissionsZone,,2034,57.26991587026135
Libya,Libya,EmissionsZone,,2036,60.19231999647921
Libya,Libya,EmissionsZone,,2038,62.650447831258894
Libya,Libya,EmissionsZone,,2040,65.68311092171636
Libya,Libya,EmissionsZone,,2042,72.24223876309388
Libya,Libya,EmissionsZone,,2044,76.94240330378155
